지역,2023년10월_전체,2023년10월_남자,2023년10월_여자,65세이상전체,65세이상남자,65세이상여자
전국,"51,354,226","25,582,773","25,771,453","9,652,413","4,258,507","5,393,906"
서울,"9,400,249","4,548,150","4,852,099","1,721,930","762,579","959,351"
부산,"3,298,213","1,608,156","1,690,057","739,632","323,741","415,891"
대구,"2,376,978","1,168,087","1,208,891","462,444","198,882","263,562"
인천  ,"2,990,276","1,495,744","1,494,532","491,628","219,130","272,498"
광주  ,"1,421,760","702,121","719,639","231,959","100,117","131,842"
대전,"1,443,965","720,207","723,758","242,780","107,767","135,013"
울산 ,"1,104,031","567,309","536,722","173,513","80,243","93,270"
세종,"386,079","192,299","193,780","42,120","18,877","23,243"
경기,"13,627,840","6,855,616","6,772,224","2,100,758","943,786","1,156,972"
강원  ,"1,529,500","769,433","760,067","363,849","161,552","202,297"
충북,"1,594,211","810,820","783,391","329,768","146,718","183,050"
충남,"2,128,563","1,090,461","1,038,102","451,428","199,261","252,167"
전북,"1,757,295","874,659","882,636","421,014","181,466","239,548"
전남,"1,805,823","910,179","895,644","468,698","200,021","268,677"
경북,"2,558,085","1,292,163","1,265,922","626,657","272,584","354,073"
경남  ,"3,255,239","1,638,978","1,616,261","663,971","289,419","374,552"
제주  ,"676,119","338,391","337,728","120,264","52,364","67,900"
